1;19;1;"email";1/1/2020 00:00:00
2;7;8;"phone";2/1/2020 00:00:00
3;18;2;"letter";3/1/2020 00:00:00
4;16;7;"email";4/1/2020 00:00:00
5;17;5;"email";5/1/2020 00:00:00
6;1;4;"phone";6/1/2020 00:00:00
7;17;8;"email";7/1/2020 00:00:00
8;1;4;"email";8/1/2020 00:00:00
9;2;5;"phone";9/1/2020 00:00:00
10;18;3;"letter";10/1/2020 00:00:00
11;9;8;"phone";11/1/2020 00:00:00
12;9;8;"phone";12/1/2020 00:00:00
13;22;3;"phone";13/1/2020 00:00:00
14;3;5;"email";14/1/2020 00:00:00
15;11;5;"letter";15/1/2020 00:00:00
16;24;3;"email";16/1/2020 00:00:00
17;6;5;"phone";17/1/2020 00:00:00
18;10;7;"letter";18/1/2020 00:00:00
19;1;4;"phone";19/1/2020 00:00:00
20;9;5;"phone";20/1/2020 00:00:00
21;4;8;"phone";21/1/2020 00:00:00
22;13;2;"email";22/1/2020 00:00:00
23;6;5;"email";23/1/2020 00:00:00
24;8;8;"phone";24/1/2020 00:00:00
25;16;5;"phone";25/1/2020 00:00:00
26;2;3;"letter";26/1/2020 00:00:00
27;1;6;"phone";27/1/2020 00:00:00
28;20;3;"email";28/1/2020 00:00:00
29;22;6;"phone";29/1/2020 00:00:00
30;2;2;"phone";30/1/2020 00:00:00
31;13;5;"letter";31/1/2020 00:00:00
32;11;8;"email";1/2/2020 00:00:00
33;5;3;"phone";2/2/2020 00:00:00
34;19;5;"phone";3/2/2020 00:00:00
35;8;6;"email";4/2/2020 00:00:00
36;1;3;"email";5/2/2020 00:00:00
37;18;8;"letter";6/2/2020 00:00:00
38;21;6;"phone";7/2/2020 00:00:00
39;23;2;"email";8/2/2020 00:00:00
40;4;6;"letter";9/2/2020 00:00:00
41;6;5;"phone";10/2/2020 00:00:00
42;12;4;"phone";11/2/2020 00:00:00
43;12;4;"phone";12/2/2020 00:00:00
44;17;5;"email";13/2/2020 00:00:00
45;18;2;"letter";14/2/2020 00:00:00
46;23;7;"phone";15/2/2020 00:00:00
47;14;8;"phone";16/2/2020 00:00:00
48;24;7;"email";17/2/2020 00:00:00
49;16;5;"phone";18/2/2020 00:00:00
50;3;2;"phone";19/2/2020 00:00:00
